ride_id,timestamp,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,duration_min,fare_amount,traffic_level
0,2025-01-01T06:00:00,12.956181,77.690143,13.009799,77.619732,9.68,16.03,134.72,0
1,2025-01-01T06:05:00,12.903088,77.693982,13.024866,77.542468,21.28,35.83,246.66,0
2,2025-01-01T06:10:00,12.945636,77.604951,12.964792,77.558246,5.49,11.75,95.37,1
3,2025-01-01T06:15:00,12.96841,77.657035,12.929951,77.602847,7.26,14.87,110.58,1
4,2025-01-01T06:20:00,12.991132,77.534105,12.909758,77.689777,19.14,63.33,248.43,2
5,2025-01-01T06:25:00,13.002635,77.58803,12.918306,77.599035,9.45,22.77,123.07,0
6,2025-01-01T06:30:00,12.938817,77.632504,12.946757,77.604014,3.21,7.02,80.81,1
7,2025-01-01T06:35:00,12.913274,77.539197,12.906784,77.565066,2.9,5.13,59.81,0
8,2025-01-01T06:40:00,13.024311,77.571351,12.94214,77.608539,9.99,22.99,126.48,0
9,2025-01-01T06:45:00,12.900828,77.663092,13.006029,77.645801,11.85,24.57,166.53,1
10,2025-01-01T06:50:00,12.95377,77.523174,13.029466,77.62466,13.85,21.65,162.94,0
11,2025-01-01T06:55:00,13.009441,77.627511,13.033082,77.594443,4.44,9.83,68.45,0
12,2025-01-01T07:00:00,13.014118,77.612255,13.015645,77.598759,1.47,3.57,60.16,1
13,2025-01-01T07:05:00,12.947153,77.601714,13.036135,77.549858,11.38,31.35,157.29,1
14,2025-01-01T07:10:00,12.93432,77.515396,12.943463,77.532244,2.09,6.91,85.48,2
15,2025-01-01T07:15:00,13.020551,77.537314,13.033884,77.607868,7.79,26.44,139.5,2
16,2025-01-01T07:20:00,12.947701,77.52201,12.93419,77.585422,7.03,23.64,130.37,2
17,2025-01-01T07:25:00,12.962612,77.544422,12.91798,77.567523,5.56,15.69,114.41,2
18,2025-01-01T07:30:00,12.977819,77.640604,12.954544,77.694356,6.37,17.54,114.14,2
19,2025-01-01T07:35:00,12.942726,77.507377,12.991435,77.600536,11.46,20.38,144.43,0
20,2025-01-01T07:40:00,13.03624,77.547912,12.921734,77.597891,13.84,37.94,204.08,2
21,2025-01-01T07:45:00,12.935646,77.645643,12.955167,77.626461,3.01,7.62,78.82,1
22,2025-01-01T07:50:00,12.913543,77.66706,12.948117,77.537304,14.58,30.48,168.03,0
